ident,name,iso_country,iso_region,iata_code
03MA,Hadley Airport,US,US-MA,
03MD,Upper Chesapeake Medical Center Heliport,US,US-MD,
03ME,Maple Ridge Airport,US,US-ME,
03MI,Harold Miller Heliport,US,US-MI,
03MN,Nauerth Land Ranch Airport,US,US-MN,
03MO,Cahoochie Airport,US,US-MO,
03MS,Vicksburg Medical Center Heliport,US,US-MS,
03MT,Cascade Field,US,US-MT,
03MU,Mc Donnell Airport,US,US-MO,
03N,Utirik Airport,MH,MH-UTI,UTK
03NC,Pilots Ridge Airport,US,US-NC,
03ND,Olafson Brothers Airport,US,US-ND,
03NE,Hyde Ranch Airport,US,US-NE,
03NH,Lorden Heliport,US,US-NH,
03NJ,At&T Heliport,US,US-NJ,
03NV,Llama Ranch Airport,US,US-NV,
03NY,Talmage Field,US,US-NY,
03OH,Gibbs Field,US,US-OH,
03OI,Marymount Hospital Heliport,US,US-OH,
03OK,Sahoma Lake Airport,US,US-OK,
03OR,Powwatka Ridge Airport,US,US-OR,
03PA,Collegeville Heliport,US,US-PA,
03PN,M.P. Metals Heliport,US,US-PA,
03PR,Sun View Field Airport,US,US-KS,
03PS,Ziggy's Field,US,US-PA,
03S,Sandy River Airport,US,US-OR,
03SC,Seacoast Medical Center Heliport,US,US-SC,
03TA,Gay Hill Farm Airport,US,US-TX,
03TE,Barronena Ranch Airport,US,US-TX,
03TN,Eagles Landing Heliport,US,US-TN,
03TS,Shannon Medical Center Heliport,US,US-TX,
03TX,M D K Field,US,US-TX,
03UT,A Z Minerals Corporation Airport,US,US-UT,
03VA,Whipoorwill Springs Airport,US,US-VA,
03WA,Spangle Field,US,US-WA,
03WI,Zink Airport,US,US-WI,
03WN,Aerostone Ranch Airport,US,US-WA,
03XS,Creekside Airport,US,US-TX,
04AA,Phil's Airport,US,US-AK,
04AL,Anniston AHP (Anniston Army Depot),US,US-AL,
04AR,Saline Memorial Hospital Heliport,US,US-AR,
04AZ,Chinle Airport,US,US-AZ,
04CA,Gray Butte Field,US,US-CA,
04CL,Hunt's Sky Ranch Airport,US,US-CA,
04CT,Shingle Mill Heliport,US,US-CT,
04F,De Leon Municipal Airport,US,US-TX,
04FA,Richards Field,US,US-FL,
04FD,Tampa General Hospital Brandon Healthplex Heliport,US,US-FL,
04FL,Cross Creek Farms Airport,US,US-FL,
04I,Columbus Southwest Airport,US,US-OH,
04IA,Middlekoop Airport,US,US-IA,
04ID,Lanham Field,US,US-ID,
04II,Turkey Run Airport,US,US-IN,
04IL,Schertz Aerial Service - Hudson Airport,US,US-IL,
04IN,Lake Gage Seaplane Base,US,US-IN,
04IS,Van Gorder Airport,US,US-IL,
04KS,Robinson Industries Heliport,US,US-KS,
04KY,Natchez Trace Farm Airport,US,US-KY,
04LA,St James Heliport,US,US-LA,
04LL,Brunner Airport,US,US-IL,
04LS,La National Guard Heliport,US,US-LA,
04MA,Goddard Field (Airport),US,US-MA,
04MD,Chesapeake City Heliport,US,US-MD,
04ME,Beech Hill Airport,US,US-ME,
04MI,Rapids Airway Airport,US,US-MI,
04MN,Helblad Airport,US,US-MN,
04MO,Airpark Private Airport,US,US-MO,
04MS,Nick's Flying Service Inc Airport,US,US-MS,
04MT,Pluhar Airport,US,US-MT,
04NC,Western Wake Medical Center Heliport,US,US-NC,
04NE,Mc Connell Field Airport,US,US-NE,
04NJ,Emmanuel Airport,US,US-NJ,
04NV,Kingston Ranch Airport,US,US-NV,
04NY,Klaverack Airport,US,US-NY,
04OG,Teufel Heliport,US,US-OR,
04OH,Bossow Airport,US,US-OH,
04OK,Stillwater Medical Center Heliport,US,US-OK,
04OR,Collins Landing Strip,US,US-OR,
04PA,S & C Distribution Center Heliport,US,US-PA,
04PN,Strawbridge & Clothier Exton Heliport,US,US-PA,
04SC,Emergency Helipad,US,US-SC,
04SD,Cheyenne River Health Center Heliport,US,US-SD,
04TA,Capitol National Bank Building Heliport,US,US-TX,
04TE,Veterans Affairs Medical Center Heliport,US,US-TX,
04TN,Hensley Airpark,US,US-TN,
04TS,Hummingbird Heliport,US,US-TX,
04TX,Pocock Airport,US,US-TX,
04UT,Navajo Mountain Airport,US,US-UT,
04V,Saguache Municipal Airport,US,US-CO,
04VA,Russell County Medical Center Heliport,US,US-VA,
04VG,Manquin Flight Park Ultralightport,US,US-VA,
04VT,Lightning Bolt Field Airport,US,US-VT,
04W,Field of Dreams Airport,US,US-MN,
04WA,Ox Meadows Airport,US,US-WA,
04WI,Dutch Gap Airstrip,US,US-WI,
04WN,Stillwater Creek Airport,US,US-WA,
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US,US-WV,
04XS,Schmidts Heliport,US,US-TX,
05AK,Wasilla Creek Airpark,US,US-AK,
05AL,Allen Stagefield Army Heliport,US,US-AL,
05AR,Ozark Skies Airpark,US,US-AR,
05AZ,Yuma Regional Medical Center Heliport,US,US-AZ,
05B,Van Buren Seaplane Base,US,US-ME,
05CA,Lost Hills Sheriff's Station Heliport,US,US-CA,
05CL,Pope Valley Airport,US,US-CA,
05CO,Rancho De Aereo Airport,US,US-CO,
05CT,O And G Heliport,US,US-CT,
05FA,Melanie's Airport,US,US-FL,
05FD,Aventura Heliport,US,US-FL,
05FL,Charlton Strip,US,US-FL,
05GA,Raju Airport,US,US-GA,
05IA,Spotts Field,US,US-IA,
05ID,Running Creek Ranch Airport,US,US-ID,
05II,Reichhart Airport,US,US-IN,
05IL,Classic Landings Airport,US,US-IL,
05IN,Cooper Airport,US,US-IN,
05IS,Hardy Airport,US,US-IL,
05KS,Darbro Field,US,US-KS,
05KY,Cartersville Airport,US,US-KY,
05LA,Greg's Flying Service Airport,US,US-LA,
05LL,Midwest Heliport,US,US-IL,
05LS,Grass Roots Airport,US,US-LA,
05M,Pauls Valley General Hospital Heliport,US,US-OK,
05MA,Bentley Heliport,US,US-MA,
05MD,Breezecroft Airport,US,US-MD,
05ME,Drisko Airport,US,US-ME,
05MN,Northern Pines Medical Center Heliport,US,US-MN,
05MO,Portageville Community Heliport,US,US-MO,
05MS,Va Medical Center Jackson Heliport,US,US-MS,
05MT,Jones Landing,US,US-MT,
05NC,Brunswick Community Hospital Heliport,US,US-NC,
05NE,Mc Kay Airport,US,US-NE,
05NH,Stumpfield Heliport,US,US-NH,
05NJ,Paulus Hook Pier Heliport,US,US-NJ,
05NV,Baker Ranches Airport,US,US-NV,
05NY,Oswego County At Pulaski Heliport,US,US-NY,
05OI,Dorlon Airpark,US,US-OH,
05OK,Hawk Haven Airport,US,US-OK,
05OR,Peacock Ranch Airport,US,US-OR,
05PA,PECO Mob. Heliport,US,US-PA,
05PN,State Police Area Iii Heliport,US,US-PA,
05PS,Mills Brothers Airport,US,US-PA,
05S,Vernonia Airfield,US,US-OR,
05TA,Brandes Air Field,US,US-TX,
05TE,Hilde-Griff Field,US,US-TX,
05TN,Thurmond Glenn Field,US,US-TN,
05TS,Dew Drop Airport,US,US-TX,
05TX,Circle 'A' Ranch Airport,US,US-TX,
05UT,Oljato Airport,US,US-UT,
05V,Blanca Airport,US,US-CO,
05VA,Providence Airport,US,US-VA,
05VT,Port of Highgate Springs Heliport,US,US-VT,
05WA,Sacred Heart Medical Center Helistop,US,US-WA,
05WI,Ames Private Airport,US,US-WI,
05WN,Flat Creek Field,US,US-WA,
05XS,Johnson Memorial Airport,US,US-AR,
05Y,Henning Municipal Airport,US,US-MN,
06AK,June Lake Airpark,US,US-AK,
06AL,Brown Stagefield Army Heliport,US,US-AL,
06AR,Bondair Airport,US,US-AR,
06AZ,Mercy Gilbert Medical Center Heliport,US,US-AZ,
06B,Lucky Landing Marina and Seaplane Base,US,US-ME,
06CA,Sce Solar I Heliport,US,US-CA,
06CL,Abc7-Tv Heliport,US,US-CA,
06CO,Jecan Airport,US,US-CO,
06FA,William P Gwinn Airport,US,US-FL,
06FD,Grass Roots Airpark,US,US-FL,
06FL,Morton Plant Hospital Heliport,US,US-FL,
06GA,Smith Heliport,US,US-GA,
06I,Patoka Reservoir Landing Area Seaplane Base,US,US-IN,
06IA,Rich Field,US,US-IA,
06ID,Larkin Airport,US,US-ID,
06IL,Humm Airport,US,US-IL,
06IN,Ellis Fly-In Airport,US,US-IN,
06IS,Sinele Strip,US,US-IL,
06KS,Riverside Hospital Airlift Heliport,US,US-KS,
06KY,Falcon Heliport,US,US-KY,
06LA,Panther Helicopters Inc Heliport,US,US-LA,
06LL,Hammersmith Heliport,US,US-IL,
06LS,Tembec Heliport,US,US-LA,
06MA,The Barn Heliport,US,US-MA,
06MD,Bayview Heliport,US,US-MD,
06ME,Barker Heliport,US,US-ME,
06MI,W A Foote Memorial Hospital Heliport,US,US-MI,
06MN,Pike Field Airport,US,US-MN,
06MO,Noahs Ark Airport,US,US-MO,
06MT,Torgerson Airport,US,US-MT,
06N,Randall Airport,US,US-NY,
06NC,Tailwinds Airport,US,US-NC,
06ND,Fitterer's Strip,US,US-ND,
06NE,St Marys Hospital Heliport,US,US-NE,
06NH,Cole Farm Airport,US,US-NH,
06NJ,Chemical Bank - New Jersey Na Heliport,US,US-NJ,
06NV,Silver Creek Airport,US,US-NV,
06NY,Murphy Field,US,US-NY,
06O1,Saint Elizabeth Medical Center Heliport,US,US-OH,
06OH,Hal Joy Airfield,US,US-OH,
06OI,Green Acres Airport,US,US-OH,
06OK,Albert Lodge Heliport,US,US-OK,
06OR,Hayden Mountain Airport,US,US-OR,
06PA,Freefall Oz Airport,US,US-PA,
06PN,Schiavoni Heliport,US,US-PA,
06PS,Cherokee Island Castle Heliport,US,US-PA,
06R,Grawunder Field,US,US-TX,
06SN,Beyer Farm Airport,US,US-KS,
06TA,Glaser Field,US,US-TX,
06TE,Ainsworth Airport,US,US-TX,
06TN,Hunter STOLport,US,US-TN,
06TS,Roscoe Mc Connico Airport,US,US-TX,
06TX,Diamond N Ranch Airport,US,US-TX,
06VA,Mount Horeb Field,US,US-VA,
06WA,N A Degerstrom Yard Heliport,US,US-WA,
06WI,Young Private Airport,US,US-WI,
06WN,Western Airpark,US,US-WA,
06XS,Campbell Field,US,US-TX,
06Y,Herman Municipal Airport,US,US-MN,
07AA,Pan Lake Strip Airport,US,US-AK,
07AL,Tac X Stagefield Army Heliport,US,US-AL,
07AR,Morrilton Airport,US,US-AR,
07AZ,John C Lincoln Hospital Heliport,US,US-AZ,
07B,Blue Hill Airport,US,US-ME,
07CA,West Side Hospital Heliport,US,US-CA,
07CL,Richvale Airport,US,US-CA,
07CO,Comanche Creek Airport,US,US-CO,
07CT,Tnt Heliport,US,US-CT,
07D,Tackaberry Airport,US,US-MI,
07FA,Ocean Reef Club Airport,US,US-FL,OCA
07FD,Flying G Ranch STOLport,US,US-FL,
07FL,Southwest Florida Regional Medical Center Heliport,US,US-FL,
07GA,Alcovy Airport,US,US-GA,
07I,Lake Monroe Seaplane Base,US,US-IN,
07ID,Interstate Airport,US,US-ID,
07II,St Vincent Jennings Hospital Heliport,US,US-IN,
07IN,Gray Airport,US,US-IN,
07K,Central City Municipal - Larry Reineke Field,US,US-NE,
07KS,Heape Field,US,US-KS,
07KY,Blue Lick Airport,US,US-KY,
07LA,Air Oil Inc Nr 1 Heliport,US,US-LA,
07LS,LA State Police Troop F Heliport,US,US-LA,
07MA,West Pond Heliport,US,US-MA,
07MD,Baugher's Orchard Airport,US,US-MD,
07ME,Westbrook Heliport,US,US-ME,
07MI,Scott Airstrip,US,US-MI,
07MN,Dairyview Airport,US,US-MN,
07MO,Lake Sexton Airport,US,US-MO,
07MT,Glasgow Industrial Airport,US,US-MT,
07N,Bermudian Valley Airpark,US,US-PA,
07NC,Hawks Meadow Airport,US,US-NC,
07NH,Diving Rock Seaplane Base,US,US-NH,
07NJ,Hackensack UMC Palisades Heliport,US,US-NJ,
07NV,Border Line Farm Airport,US,US-NV,
07NY,Mmc Heliport,US,US-NY,
07OH,Tennessee Gas Heliport,US,US-OH,
07OK,Pleasant Valley Airport,US,US-OK,
07OR,Bruce's Airport,US,US-OR,
07PN,Folmar Airport,US,US-PA,
07SN,Churchill Airport,US,US-KS,
07TA,Salaika Aviation Heliport,US,US-TX,
07TE,Cuddihy Field,US,US-TX,
07TN,Corntassel Airport,US,US-TN,
07TS,Cross-Country Estates Airport,US,US-TX,
07TX,Pecks Heliport,US,US-TX,
07UT,E Northrop Grumman Airport,US,US-UT,
07VA,Alpha Hotel Airport,US,US-VA,
07VT,Meadow STOLport,US,US-VT,
07WA,Multicare Deaconess Hospital Heliport,US,US-WA,
07WI,Bartell Strip,US,US-WI,
07XS,Allen Ponderosa Heliport,US,US-TX,
07Y,Hill City-Quadna Mountain Airport,US,US-MN,
08AK,Fisher Airport,US,US-AK,
08AR,Crittenden Regional Hospital Heliport,US,US-AR,
08AZ,Mesa Police Heliport,US,US-AZ,
08B,Merrymeeting Field,US,US-ME,
08CA,Pg & E Co. Placerville Svc Center Heliport,US,US-CA,
08CL,Kistler Ranch Airport,US,US-CA,
08CN,Tulare Motor Sports #1 Heliport,US,US-CA,
08CO,Terra Firma Airport,US,US-CO,
08CT,Seavair's Landing Seaplane Base,US,US-CT,
08F,City of Coalgate Airport,US,US-OK,
08FA,Duda Airstrip,US,US-FL,
08FD,Sunniland Ranch Airport,US,US-FL,
08FL,J. H. Hendrie Farms Airport,US,US-FL,
08G,Salt Fork Lodge Heliport,US,US-OH,
08GA,Sapelo Island Airport,US,US-GA,
08ID,Symms Airport,US,US-ID,
08II,Parkview Lagrange Hospital Heliport,US,US-IN,
08IL,Harms Airstrip,US,US-IL,
08IN,Winona Lake Seaplane Base,US,US-IN,
08IS,Hemmer RLA Restricted Landing Area,US,US-IL,
08KS,Alderson Airport,US,US-KS,
08KY,Boss Airport,US,US-KY,
08LA,Air Oil Inc Nr 2 Heliport,US,US-LA,
08LL,Sauer Airport,US,US-IL,
08LS,Aeleron Airport,US,US-LA,
08MA,Wormid Airport,US,US-MA,
08MD,St Joseph Hospital Heliport,US,US-MD,
08ME,Lindbergh Airport,US,US-ME,
08MI,Sparrow Hospital Heliport,US,US-MI,
08MN,Christenson Point Seaplane Base,US,US-MN,
08MO,Twin Oaks Airport,US,US-MO,
08MS,Williams Field,US,US-MS,
08MT,Clark Airport,US,US-MT,
08N,Keller Brothers Airport,US,US-PA,
08NC,Whiteheart Farm Airport,US,US-NC,
08ND,Brecht Strip,US,US-ND,
08NE,Laurel Municipal Airport,US,US-NE,
08NH,Memorial Hospital Heliport,US,US-NH,
08NJ,St Barnabas Medical Center Heliport,US,US-NJ,
08NY,Md1 Airport,US,US-NY,
08OH,Kenley Airport,US,US-OH,
08OK,Parks Airport,US,US-OK,
08OL,Broken B Airport,US,US-OK,
08OR,Saxon Sycan Airport,US,US-OR,
08PA,Pocono Raceway Heliport,US,US-PA,
08PN,Thomson Heliport,US,US-PA,
08R,Richmond Airport,US,US-RI,
08TA,Rancho Del Lago Heliport,US,US-TX,
08TE,B. J. Mc Combs Sisterdale Airport,US,US-TX,
08TS,Puesta Del Sol Airport,US,US-TX,
08TX,Cross Wind Airport,US,US-TX,
08U,Stevens-Crosby Airport,US,US-NV,
08VA,Springwood Airstrip,US,US-VA,
08WA,Manchester Laboratory Heliport,US,US-WA,
08WI,Pierick Airport,US,US-WI,
08XA,Knolle Ranch Airport,US,US-TX,
08XS,Peterson Airport,US,US-TX,
09AA,Sheldon Chalet Heliport,US,US-AK,
09AK,West Beaver Airport,US,US-AK,
09AR,Magnolia Hospital Heliport,US,US-AR,
09AZ,Stronghold Airport,US,US-AZ,
09CA,Mee Memorial Hospital Heliport,US,US-CA,
09CL,Alta Sierra Airport,US,US-CA,
09CN,Tulare Motor Sports #2 Heliport,US,US-CA,
09CO,Cottonwood Field,US,US-CO,
09FA,Placid Lakes Airport,US,US-FL,
09FD,Cheryl-Lane Landings Airport,US,US-FL,
09FL,Sunnybreeze Airport,US,US-FL,
09GA,Sunbelt Strip,US,US-GA,
09I,International Falls Seaplane Base,US,US-MN,
09IA,Skydive Iowa Airport,US,US-IA,
09ID,Taylor Ranch Landing Area Airport,US,US-ID,
09II,Gibbons Field,US,US-IN,
09IL,Silver Cross Hospital Heliport,US,US-IL,
09IN,Gordon Airport,US,US-IN,
09IS,Swedish American Heliport,US,US-IL,
09KS,Coffman Airport,US,US-KS,
09KY,Baptist Hospital East Heliport,US,US-KY,
09LA,Era Helicopters Fourchon Helibase Heliport,US,US-LA,
09LL,Pine Hill Airport,US,US-IL,
09LS,West Feliciana Sheriff's Office Heliport,US,US-LA,
09MA,Kallander Field,US,US-MA,
09ME,Perrotti Skyranch Airfield,US,US-ME,
09MI,Michigan National Guard Headquarters Heliport,US,US-MI,
09MN,W Johnson Field,US,US-MN,
09MO,Hogue Farm Airport,US,US-MO,
09N,Airhaven Airport,US,US-NY,
09NC,William Irving Lewis Airport,US,US-NC,
09NE,Summer Hill Farm Airport,US,US-NE,
09NJ,Stonebridge Farm Helistop,US,US-NJ,
09NR,Dakota Air Ranch Airport,US,US-NC,
09NY,Spring Lake Fire Department Heliport,US,US-NY,
09OK,Ragtime Aerodrome,US,US-OK,
09OR,Mid-Columbia Medical Center Heliport,US,US-OR,
09PA,Eagle Field,US,US-PA,
09PN,Hundley Residence Heliport,US,US-PA,
09S,Sullivan Lake State Airport,US,US-WA,
09TA,Lazy G Bar Ranch Airport,US,US-TX,
09TE,Running M Ranch Airport,US,US-TX,
09TN,Univ of Tennessee Medical Center Heliport,US,US-TN,
09TS,Pitcock Rosillos Mountain Ranch Airport,US,US-TX,
09TX,Smokey Mtn Ranch Airport,US,US-TX,
09VA,Alum Ridge STOLport,US,US-VA,
09VG,Augusta Medical Center Heliport,US,US-VA,
09W,South Capitol Street Heliport,US,US-DC,
09WA,Holy Family Hospital Heliport,US,US-WA,
